name,symbol,quote,category,market_cap,price,volume_24h,circulating_supply
Zcash,ZEC,29.055520678441557,mineable,474426350.3087761,29.055520678441557,49604021.82686032,16328268.75
Terra Classic,LUNC,8.307318856253077e-05,cosmos-ecosystem,473982497.47306246,8.307318856253077e-05,21012095.93562919,5705601357967.461
Chiliz,CHZ,0.05136172756292718,sports,464231448.82603836,0.05136172756292718,18041827.1030895,9038470294
Synthetix,SNX,1.3552054853682076,services,444194612.5430098,1.3552054853682076,13675507.30890133,327769196.1395232
SuperVerse,SUPER,0.8989718428677922,collectibles-nfts,438676767.97443205,0.8989718428677922,78048308.41521503,487976093.41691726
ApeCoin,APE,0.7203715107871623,collectibles-nfts,435749725.08706903,0.7203715107871623,36431411.89383149,604895833
DeXe,DEXE,7.55527645420854,asset-management,431430821.4713924,7.55527645420854,1289883.70516543,57103247.52326847
AIOZ Network,AIOZ,0.38270332604152557,media,429455114.75554174,0.38270332604152557,1699807.21788319,1122161960.8002658
FTX Token,FTT,1.277705673530127,marketplace,420231140.1384147,1.277705673530127,6728546.06763844,328895103.813207
Oasis,ROSE,0.059350073948240885,cosmos-ecosystem,419256796.9975351,0.059350073948240885,18791858.6831178,7064132681
IOTA,IOTA,0.12190428029256568,dag,417020219.73745424,0.12190428029256568,5511695.48985728,3420882505
Astar,ASTR,0.05803169231522189,polkadot,416950275.83130556,0.05803169231522189,16284881.90450113,7184871907
BOOK OF MEME,BOME,0.00598062547282437,memes,412434474.9824712,0.00598062547282437,67820520.71212955,68961762754.84071
XDC Network,XDC,0.027620938447757294,enterprise-solutions,412228073.59971774,0.027620938447757294,4521924.94610288,14924477471.3
Livepeer,LPT,11.892398519161246,distributed-computing,410887737.50326854,11.892398519161246,11830080.01399673,34550451.43679291
APENFT,NFT,4.0938575101486573e-07,art,409381657.1573556,4.0938575101486573e-07,14156613.07508405,999990000000000
LayerZero,ZRO,3.682878490878345,interoperability,405116633.996618,3.682878490878345,60449678.7605072,110000000
Theta Fuel,TFUEL,0.06051719157609292,media,404371774.85844713,0.06051719157609292,9736135.10263428,6681932263
Ethena,ENA,0.21077999647340032,defi,400811337.04395026,0.21077999647340032,43472987.10183063,1901562500
zkSync,ZK,0.1084031332771535,zero-knowledge-proofs,398381514.7935391,0.1084031332771535,36244305.22110168,3675000000
Trust Wallet Token,TWT,0.9327194282254055,wallet,388617456.4981724,0.9327194282254055,14476556.96919934,416649900
Axelar,AXL,0.4928094539696094,interoperability,386154104.3995253,0.4928094539696094,5656676.376481,783576900.339535
Gnosis,GNO,147.97798177061358,services,383202005.8573997,147.97798177061358,2123287.24166131,2589588
Bitcoin Gold,BTG,22.00116189100469,mineable,385326668.2282749,22.00116189100469,2017797.88571695,17513923.589
Raydium,RAY,1.4436680525162395,decentralized-exchange-dex-token,380810542.76825625,1.4436680525162395,7218243.50558244,263779850.294895
MX Token,MX,3.8504097103270163,marketplace,376182464.3260824,3.8504097103270163,17998667.79321941,97699334
Compound,COMP,42.39414824026996,defi,370941756.638976,42.39414824026996,25614903.70672992,8749833.92841516
SafePal,SFP,0.7520423886149633,wallet,366620664.4497946,0.7520423886149633,3948034.05692184,487500000
cat in a dogs world,MEW,0.004065527869922535,memes,361380255.10061157,0.004065527869922535,25858244.12331865,88888888888
WEMIX,WEMIX,0.8724085598875877,platform,358176750.272125,0.8724085598875877,2046972.96373831,410560793.12
Kava,KAVA,0.30117174132743246,cosmos-ecosystem,326125246.4457772,0.30117174132743246,6168955.26898402,1082854736
Mog Coin,MOG,9.038424301412358e-07,memes,325787912.7645396,9.038424301412358e-07,13701034.61883355,360447686344655.8
Blur,BLUR,0.17339461963124977,collectibles-nfts,325280633.8317703,0.17339461963124977,33309073.60327855,1875955750.6659055
GMT,GMT,0.13066585166247552,collectibles-nfts,321279741.45442545,0.13066585166247552,37379645.179986,2458788867.6861563
IoTeX,IOTX,0.033918900146181236,platform,320240969.5101321,0.033918900146181236,6177176.48621574,9441372454
Curve DAO Token,CRV,0.26183236737021454,decentralized-exchange-dex-token,313167211.8908536,0.26183236737021454,56917273.62933115,1196059964
Safe,SAFE,0.6750903545835675,staking,313078531.7331651,0.6750903545835675,5168217.30275546,463757969
Kusama,KSM,20.061480425513516,substrate,310293116.7188349,20.061480425513516,20312666.00814645,15467109.61192149
1inch Network,1INCH,0.24074082256870344,decentralized-exchange-dex-token,305804899.9268287,0.24074082256870344,23413487.23656391,1270266075.6239505
Reserve Rights,RSR,0.0059239946328278476,store-of-value,302476171.9830744,0.0059239946328278476,23476122.31355234,51059494603
Amp,AMP,0.0036884961849928954,sec-security-token,297744908.680978,0.0036884961849928954,6848374.25674454,80722574661.29153
Osmosis,OSMO,0.43461722707783507,cosmos-ecosystem,296847251.7867495,0.43461722707783507,13120961.69557956,683008480.318677
WOO,WOO,0.1615992271923038,centralized-exchange,294658937.055464,0.1615992271923038,8407931.00471693,1823393231.3600645
Echelon Prime,PRIME,8.14652121164161,ai-big-data,291432354.52839434,8.14652121164161,3630773.70450193,35773841
Dymension,DYM,1.4228246484031888,cosmos-ecosystem,288885739.38488954,1.4228246484031888,9758216.67693975,203036783
ConstitutionDAO,PEOPLE,0.056659424698025054,dao,286704470.27709985,0.056659424698025054,62627159.04722898,5060137334.7
Aevo,AEVO,0.3269877026874613,ethereum-ecosystem,284823846.4258719,0.3269877026874613,17650145.98027084,871053694.3284068
Dash,DASH,23.406429185624887,mineable,279770264.4570929,23.406429185624887,28404673.52739172,11952710.18224832
JUST,JST,0.027947625079844055,defi,276681488.2904562,0.027947625079844055,12763330.61555218,9900000000
Terra,LUNA,0.38971907712676596,alleged-sec-securities,271084622.1000724,0.38971907712676596,50049016.86967056,695589818.437077
Holo,HOT,0.0015524191353903502,platform,269874654.4040684,0.0015524191353903502,7863113.65164631,173841360397.95038
Golem,GLM,0.26723067780989307,platform,267230677.80989307,0.26723067780989307,6327465.82211589,1000000000
aelf,ELF,0.3554471927872576,marketplace,260521395.91485736,0.3554471927872576,12839552.02717852,732939804.28419
Gravity,G,0.03556123126841823,ethereum-ecosystem,257203717.55760336,0.03556123126841823,22896139.33927571,7232700004.57
Basic Attention Token,BAT,0.17027084362971742,marketing,254667010.2201572,0.17027084362971742,7449893.44018087,1495658356.9526057
Aragon,ANT,5.822866179893301,platform,251498502.47163042,5.822866179893301,801660.50523761,43191530.54557042
Manta Network,MANTA,0.663320843759567,zero-knowledge-proofs,251428337.42011684,0.663320843759567,11868678.74083559,379044831.45
Memecoin,MEME,0.009525133469491971,collectibles-nfts,250888041.1020692,0.009525133469491971,19099266.94925047,26339582737.148823
Zilliqa,ZIL,0.013219397045364852,mineable,247266042.6859108,0.013219397045364852,11365317.98974227,18704789775.00795
Ankr,ANKR,0.02462611343443822,platform,246261134.3443822,0.02462611343443822,6880127.45944159,10000000000
Jito,JTO,1.9361738898293808,defi,245215493.78342396,1.9361738898293808,20586665.87417942,126649520
Siacoin,SC,0.004222090233141894,mineable,243785143.85541582,0.004222090233141894,1901390.41606685,57740391700.25071
0x Protocol,ZRX,0.28375183408049365,platform,240734080.7497082,0.28375183408049365,9407322.13345028,848396562.8973439
Celo,CELO,0.4361362594031466,pos,239053299.4667334,0.4361362594031466,7899757.25909207,548116086
Sun (New),SUN,0.02350783757762018,tron-ecosystem,233941553.72360682,0.02350783757762018,45871349.137657,9951640722
Ravencoin,RVN,0.016380341707792123,mineable,233980448.16763562,0.016380341707792123,5429550.84973805,14284222657.963917
Enjin Coin,ENJ,0.13559730590221342,media,234272254.8424441,0.13559730590221342,9373480.89950058,1727705821.909106
Qtum,QTUM,2.186375022301358,platform,230264507.95029554,2.186375022301358,26701366.26374725,105317937.5
Arkham,ARKM,1.0066762142978891,marketplace,226602815.83845484,1.0066762142978891,28058887.15723561,225100000
ZetaChain,ZETA,0.5629108876179221,interoperability,225914902.7096891,0.5629108876179221,146749076.884024,401333333
SPACE ID,ID,0.3298657186529898,binance-launchpad,224541546.25038216,0.3298657186529898,8086976.67326999,680705916.2355517
ether.fi,ETHFI,1.2772316276953737,defi,223450242.7658826,1.2772316276953737,32958841.47065168,174948880
OriginTrail,TRAC,0.5360026001235698,marketplace,221031088.08615318,0.5360026001235698,2693982.4140116,412369432.602
GMX,GMX,22.644339243050226,decentralized-exchange-dex-token,219137483.93855903,22.644339243050226,8319653.48548627,9677362.69919267
ssv.network,SSV,19.264494940057734,Desconocida,216407171.8125367,19.264494940057734,17831845.86912058,11233472.37941594
Radix,XRD,0.020425294446412418,platform,215392530.99411628,0.020425294446412418,1277422.84675905,10545381931.174496
Gas,GAS,3.2161184269978818,medium-of-exchange,209023033.34264567,3.2161184269978818,3187793.33178663,64992331
Mask Network,MASK,2.0787328823776567,communications-social-media,207873288.23776567,2.0787328823776567,24059937.58656,100000000
Threshold,T,0.021029264663454266,bitcoin-ecosystem,206864244.91814512,0.021029264663454266,5050426.26565591,9836969966.7932
io.net,IO,1.7041830070039985,ai-big-data,204990778.46911082,1.7041830070039985,34776926.18909656,120286834
Flux,FLUX,0.5764262985263807,mineable,203505578.18224758,0.5764262985263807,10002015.42604495,353047004.79923356
Rocket Pool,RPL,9.710449792938581,defi,201071845.64271596,9.710449792938581,4261805.31319525,20706748.90764947
Open Campus,EDU,0.5976646476113727,education,197135948.67971352,0.5976646476113727,4481194.14122886,329843750.1157
COTI,COTI,0.11262169166627607,defi,193491129.07162714,0.11262169166627607,22687630.53946223,1718062712.51
Convex Finance,CVX,1.9662677210966213,defi,193211501.5086479,1.9662677210966213,8772011.19618489,98263069.38553134
dYdX (ethDYDX),ETHDYDX,0.8769461431439501,cosmos-ecosystem,193078477.06780705,0.8769461431439501,12025916.70359029,220171419.3936689
Decred,DCR,11.707491247437208,mineable,191078810.1491088,11.707491247437208,846782.4188139,16321072.21869043
Polymesh,POLYX,0.21432290801095435,real-world-assets,188096901.58858147,0.21432290801095435,7427307.3626875,877633209.320618
Ethena USDe,USDe,0.9990688305590476,stablecoin,2659674448.885402,0.9990688305590476,44440133.25841226,2662153364.745782
Zeebu,ZBU,4.672537089131843,loyalty,1540571863.3330817,4.672537089131843,35546492.76458219,329707787
Fellaz,FLZ,2.586297108487429,ethereum-ecosystem,1220408792.889679,2.586297108487429,3393052.48456217,471874940
Cheelee,CHEEL,17.293051229494665,Desconocida,982197940.0214415,17.293051229494665,5609332.12270853,56797260.76021942
Fasttoken,FTN,2.4895688994553344,Desconocida,758945701.3911836,2.4895688994553344,64635119.41132592,304850250
Frax,FRAX,0.9970258952395684,defi,647502784.9636037,0.9970258952395684,5041960.83745524,649434270.5191422
Aerodrome Finance,AERO,0.6264646072666804,defi,385358920.6847804,0.6264646072666804,8605694.75368795,615132788.3727301
Beldex,BDX,0.05370116819937855,privacy,358696282.96508265,0.05370116819937855,7455446.2911785,6679487523.126799
Ondo US Dollar Yield,USDY,1.0568381369642883,stablecoin,340328023.45799917,1.0568381369642883,95045.37622266,322024737.33165365
SUNDOG,SUNDOG,0.3282669668458272,memes,327443924.0889405,0.3282669668458272,173464237.97542393,997492764
IPVERSE,IPV,1.8978299531393976,Desconocida,284676390.8008628,1.8978299531393976,84874.4393664,150001000
PepeCoin,PEPECOIN,2.28678379560484,memes,267626726.85439697,2.28678379560484,3829603.11729257,117031932.5197122
USDB,USDB,1.004495599423826,stablecoin,262803680.22032335,1.004495599423826,5951765.72042046,261627507.74723783
Orbler,ORBR,0.2584748025305216,Desconocida,262503584.65886417,0.2584748025305216,53957.02171277,1015586750
Turbo,TURBO,0.003766152209440293,art,242879155.9868045,0.003766152209440293,47590506.71364909,64490000000
Aethir,ATH,0.05740546813465545,ai-big-data,232877540.0241117,0.05740546813465545,79334511.78868616,4056713543
Rollbit Coin,RLB,0.08693371600134797,gambling,231848097.34230027,0.08693371600134797,1705682.71032903,2666952570.3779335
Avail,AVAIL,0.13062141191883597,zero-knowledge-proofs,230834628.20445713,0.13062141191883597,2067728.34829219,1767203591
Simon's Cat,CAT,3.319695973375353e-05,memes,224077995.30057636,3.319695973375353e-05,81161791.3574177,6749955330178.672
Meta Games Coin,MGC,0.19690362268318207,binance-chain,216593925.88041347,0.19690362268318207,31242.96304042,1099999700
Tribe,TRIBE,0.3883767118164322,defi,209902837.90653348,0.3883767118164322,35488.71488523,540461957.4763404
Dog (Runes),DOG,0.0020753250603741907,memes,207532506.03741908,0.0020753250603741907,5562789.75482884,100000000000
Qubic,QUBIC,1.7509568971799228e-06,ai-big-data,195553692.53060812,1.7509568971799228e-06,916668.84312073,111683898584577
MimbleWimbleCoin,MWC,17.29100813141346,mineable,189573977.55354366,17.29100813141346,2743.43762935,10963731.9069404
Osaka Protocol,OSAK,2.4868031866067396e-07,memes,186726525.87524047,2.4868031866067396e-07,225260.28590573,750869738630302
EthereumPoW,ETHW,1.7235151494034713,pow,185827678.25607285,1.7235151494034713,3139726.57746618,107818999.04993
Blast,BLAST,0.00911716460518981,ethereum-ecosystem,182931193.12118843,0.00911716460518981,41866762.0009906,20064482878.488075
Metis,METIS,30.200740678395967,zero-knowledge-proofs,179885708.85656628,30.200740678395967,5403978.29488816,5956334.342
Biconomy,BICO,0.21219517869002366,platform,179527404.59795,0.21219517869002366,5072061.12848885,846048462.1104659
UMA,UMA,2.157914740422959,defi,178175661.66664222,2.157914740422959,10774784.30206304,82568443.65951139
SKALE,SKL,0.03171234421779643,platform,175651323.80094734,0.03171234421779643,15799234.0814196,5538894337
Illuvium,ILV,36.803239853256024,collectibles-nfts,174730786.6001031,36.803239853256024,6578465.65045501,4747701.21589294
Altlayer,ALT,0.07783936867013314,zero-knowledge-proofs,173774382.02066064,0.07783936867013314,17523408.49326027,2232474196.406704
Centrifuge,CFG,0.33344765841811363,ethereum-ecosystem,166972593.83324775,0.33344765841811363,1218339.35002598,500746038
Hivemapper,HONEY,0.06526638170293378,distributed-computing,166027249.43567735,0.06526638170293378,679734.82253744,2543840260.5397425
Arcblock,ABT,1.6752913868355193,marketplace,165107179.03968027,1.6752913868355193,485137.56658286,98554305.44029327
Harmony,ONE,0.011580548836219184,platform,164042094.4750415,0.011580548836219184,4907966.13431845,14165312611.2629
Band Protocol,BAND,1.0748642891140125,cosmos-ecosystem,162306868.6039453,1.0748642891140125,4118623.4499012,151002196.507739
yearn.finance,YFI,4826.220893404432,defi,161915445.15462837,4826.220893404432,8539306.90889382,33549.11611607
SushiSwap,SUSHI,0.6162755970270627,collectibles-nfts,160958093.0355775,0.6162755970270627,12265718.86017791,261178754.78445935
Tellor,TRB,61.502260910611774,mineable,160878905.6374574,61.502260910611774,23937933.89359284,2615821
NEM,XEM,0.01782906153342627,poi,160461553.78300735,0.01782906153342627,8350533.61945609,8999999999
Loopring,LRC,0.1161265413679267,marketplace,158722566.16557488,0.1161265413679267,9514842.41059483,1366806970.1885817
Baby Doge Coin,BabyDoge,1.056763655431031e-09,marketing,158128069.71577647,1.056763655431031e-09,9040244.47270523,149634280951192860
Audius,AUDIO,0.12206846699254775,music,153899312.78027436,0.12206846699254775,3841274.07816605,1260762231
